,name,kana,romanized
695,堀口,ほりぐち,horiguchi
696,荒川,あらかわ,arakawa
697,有田,ありた,arita
698,亀田,かめだ,kameda
699,日高,ひだか,hidaka
700,安東,あんどう,andou
701,稲川,いながわ,inagawa
702,堀越,ほりこし,horikoshi
703,岡部,おかべ,okabe
704,田淵,たぶち,tabuchi
705,大井,おおい,ooi
706,秋田,あきた,akita
707,津田,つだ,tsuda
708,轟,とどろき,todoroki
709,宮脇,みやわき,miyawaki
710,嶋津,しまづ,shimazu
711,柳澤,やなぎさわ,yanagisawa
712,鳥海,とりうみ,toriumi
713,南出,みなみで,minamide
714,竹中,たけなか,takenaka
715,槇本,まきもと,makimoto
716,園部,そのべ,sonobe
717,門司,もんじ,monji
718,仲野,なかの,nakano
719,河合,かわい,kawai
720,竹部,たけべ,takebe
721,荒牧,あらまき,aramaki
722,中平,なかひら,nakahira
723,石浦,いしうら,ishiura
724,浅倉,あさくら,asakura
725,幸地,こうち,kouchi
726,井田,いだ,ida
727,兼平,かねひら,kanehira
728,高島,たかしま,takashima
729,吉成,よしなり,yoshinari
730,下岡,しもおか,shimooka
731,濱田,はまだ,hamada
732,永原,ながはら,nagahara
733,橋爪,はしづめ,hashizume
734,重松,しげまつ,shigematsu
735,小野寺,おのでら,onodera
736,増本,ますもと,masumoto
737,末永,すえなが,suenaga
738,冨安,とみやす,tomiyasu
739,飯野,いいの,iino
740,大柳,おおやなぎ,ooyanagi
741,川上,かわかみ,kawakami
742,松藤,まつふじ,matsufuji
743,島倉,しまくら,shimakura
744,石黒,いしぐろ,ishiguro
745,河田,かわた,kawata
746,照井,てるい,terui
747,吉本,よしもと,yoshimoto
748,戸室,とむろ,tomuro
749,小森谷,こもりや,komoriya
750,土橋,どばし,dobashi
751,平,たいら,taira
752,日置,ひおき,hioki
753,若山,わかやま,wakayama
754,柏井,かしわい,kashiwai
755,下川,しもかわ,shimokawa
756,深堀,ふかほり,fukahori
757,山元,やまもと,yamamoto
758,成合,なりあい,nariai
759,道端,みちばた,michibata
760,新見,にいみ,niimi
761,川瀬,かわせ,kawase
762,野津,のつ,notsu
763,及川,おいかわ,oikawa
764,里見,さとみ,satomi
765,川又,かわまた,kawamata
766,赤穂,あこう,akou
767,桃井,ももい,momoi
768,右田,みぎた,migita
769,樋渡,ひわたし,hiwatashi
770,橋田,はしだ,hashida
771,小泉,こいずみ,koizumi
772,川地,かわち,kawachi
773,政岡,まさおか,masaoka
774,日下部,くさかべ,kusakabe
775,肥後,ひご,higo
776,立川,たちかわ,tachikawa
777,塩谷,しおや,shioya
778,加瀬,かせ,kase
779,笠松,かさまつ,kasamatsu
780,上間,うえま,uema
781,井出,いで,ide
782,木元,きもと,kimoto
783,吉崎,よしざき,yoshizaki
784,若尾,わかお,wakao
785,相川,あいかわ,aikawa
786,佐久間,さくま,sakuma
787,石渡,いしわた,ishiwata
788,藤,ふじ,fuji
789,大橋,おおはし,oohashi
790,辻,つじ,tsuji
791,塩野,しおの,shiono
792,荏原,えばら,ebara
793,守屋,もりや,moriya
794,進藤,しんどう,shindou
795,森下,もりした,morishita
796,占部,うらべ,urabe
797,長瀬,ながせ,nagase
798,峯,みね,mine
799,名嘉,なか,naka
800,飯尾,いいお,iio
801,佐竹,さたけ,satake
802,鷲見,すみ,sumi
803,村木,むらき,muraki
804,高田,たかだ,takada
805,金城,きんじょう,kinjou
806,上村,うえむら,uemura
807,井本,いもと,imoto
808,下元,しももと,shimomoto
809,大川,おおかわ,ookawa
810,大場,おおば,ooba
811,川中,かわなか,kawanaka
812,水本,みずもと,mizumoto
813,喜多,きた,kita
814,室田,むろた,murota
815,土岐,とき,toki
816,原山,はらやま,harayama
817,伊吹,いぶき,ibuki
818,大川原,おおかわら,ookawara
819,柴村,しばむら,shibamura
820,筒井,つつい,tsutsui
821,森泉,もりいずみ,moriizumi
822,神崎,かんざき,kanzaki
823,八田,はった,hatta
824,谷島,やじま,yajima
825,越智,おち,ochi
826,小糸,こいと,koito
827,宮澤,みやざわ,miyazawa
828,山里,やまざと,yamazato
829,井野,いの,ino
830,梅宮,うめみや,umemiya
831,石堂,いしどう,ishidou
832,村松,むらまつ,muramatsu
833,岡,おか,oka
834,甘利,あまり,amari
835,藤崎,ふじさき,fujisaki
836,野口,のぐち,noguchi
837,柿添,かきぞえ,kakizoe
838,二ノ宮,にのみや,ninomiya
839,角谷,かどや,kadoya
840,高岸,たかぎし,takagishi
841,和泉,いずみ,izumi
842,井原,いはら,ihara
843,保田,やすだ,yasuda
844,下田,しもだ,shimoda
845,浜谷,はまや,hamaya
846,寺地,てらち,terachi
847,浜地,はまち,hamachi
848,戸村,とむら,tomura
849,長野,ながの,nagano
850,宮島,みやじま,miyajima
851,河本,かわもと,kawamoto
852,板垣,いたがき,itagaki
853,赤坂,あかさか,akasaka
854,中内,なかうち,nakauchi
855,中江,なかえ,nakae
856,小間,こま,koma
857,山之内,やまのうち,yamanouchi
858,松野,まつの,matsuno
859,吉浦,よしうら,yoshiura
860,橘,たちばな,tachibana
861,黒井,くろい,kuroi
862,鶴岡,つるおか,tsuruoka
863,中口,なかぐち,nakaguchi
864,星,ほし,hoshi
865,寺野,てらの,terano
866,武智,たけち,takechi
867,繁田,しげた,shigeta
868,大岩,おおいわ,ooiwa
869,内山,うちやま,uchiyama
870,豊岡,とよおか,toyooka
871,細川,ほそかわ,hosokawa
872,湯沢,ゆざわ,yuzawa
873,川越,かわごえ,kawagoe
874,小幡,おばた,obata
875,成瀬,なるせ,naruse
876,平本,ひらもと,hiramoto
877,松嶋,まつしま,matsushima
878,住友,すみとも,sumitomo
879,沓名,くつな,kutsuna
880,藤村,ふじむら,fujimura
881,佐俣,さまた,samata
882,栗岡,くりおか,kurioka
883,芹澤,せりざわ,serizawa
884,本山,もとやま,motoyama
885,荒木,あらき,araki
886,戸田,とだ,toda
887,遠山,とおやま,tooyama
888,石関,いしぜき,ishizeki
889,大内,おおうち,oouchi
890,會澤,あいざわ,aizawa
891,廣重,ひろしげ,hiroshige
892,西里,にしざと,nishizato
893,末廣,すえひろ,suehiro
894,永田,ながた,nagata
895,岸,きし,kishi
896,金澤,かなざわ,kanazawa
897,三島,みしま,mishima
898,日下,くさか,kusaka
899,高倉,たかくら,takakura
900,松村,まつむら,matsumura
901,武山,たけやま,takeyama
902,千原,ちはら,chihara
903,佐原,さはら,sahara
904,滝澤,たきざわ,takizawa
905,吉牟田,よしむた,yoshimuta
906,浜井,はまい,hamai
907,疋田,ひきた,hikita
908,青田,あおた,aota
